Model,N_dense,N_active,N_total,D1,D2,Loss
8x_0.1b,0.09832384,0.09833344,0.61449664,1.1534336,9.2274688,2.692454
8x_44m,0.0442488,0.04425456,0.27653808,2.3068672,4.6137344,2.931339
8x_0.1b,0.09832384,0.09833344,0.61449664,1.7301504,9.2274688,2.704068
8x_44m,0.0442488,0.04425456,0.27653808,4.6137344,4.6137344,2.90838
8x_0.1b,0.09832384,0.09833344,0.61449664,2.3068672,9.2274688,2.700424
8x_0.1b,0.09832384,0.09833344,0.61449664,4.6137344,9.2274688,2.697775
8x_0.1b,0.09832384,0.09833344,0.61449664,9.2274688,9.2274688,2.685155
8x_15m,0.01475168,0.01475456,0.09218912,1.1534336,0.4325376,3.281902
8x_15m,0.01475168,0.01475456,0.09218912,0.5767168,0.4325376,3.324413
8x_15m,0.01475168,0.01475456,0.09218912,0.5767168,0.2883584,3.340627
8x_15m,0.01475168,0.01475456,0.09218912,1.1534336,0.5767168,3.264635
8x_44m,0.0442488,0.04425456,0.27653808,4.6137344,1.1534336,2.976179
8x_44m,0.0442488,0.04425456,0.27653808,0.5767168,0.8650752,3.119874
8x_15m,0.01475168,0.01475456,0.09218912,0.4325376,1.1534336,3.277274
8x_15m,0.01475168,0.01475456,0.09218912,2.3068672,1.1534336,3.22523
8x_44m,0.0442488,0.04425456,0.27653808,4.6137344,2.3068672,2.958161
8x_44m,0.0442488,0.04425456,0.27653808,4.6137344,0.5767168,2.978982
8x_15m,0.01475168,0.01475456,0.09218912,0.2883584,1.1534336,3.285477
8x_15m,0.01475168,0.01475456,0.09218912,0.5767168,1.1534336,3.270603
8x_44m,0.0442488,0.04425456,0.27653808,1.1534336,2.3068672,3.007079
8x_15m,0.01475168,0.01475456,0.09218912,0.5767168,0.5767168,3.30778
8x_44m,0.0442488,0.04425456,0.27653808,0.5767168,0.5767168,3.149935
8x_44m,0.0442488,0.04425456,0.27653808,0.8650752,0.5767168,3.109501
8x_15m,0.01475168,0.01475456,0.09218912,1.1534336,1.1534336,3.241321
8x_44m,0.0442488,0.04425456,0.27653808,1.1534336,0.8650752,3.06279
8x_15m,0.01475168,0.01475456,0.09218912,0.2883584,0.5767168,3.348284
8x_0.1b,0.09832384,0.09833344,0.61449664,1.1534336,1.7301504,2.895104
8x_15m,0.01475168,0.01475456,0.09218912,2.3068672,0.4325376,3.252769
8x_44m,0.0442488,0.04425456,0.27653808,1.1534336,0.5767168,3.079853
8x_15m,0.01475168,0.01475456,0.09218912,0.2883584,0.2883584,3.398325
8x_0.1b,0.09832384,0.09833344,0.61449664,4.6137344,2.3068672,2.792031
8x_44m,0.0442488,0.04425456,0.27653808,2.3068672,2.3068672,2.989211
8x_15m,0.01475168,0.01475456,0.09218912,0.4325376,0.5767168,3.326034
8x_15m,0.01475168,0.01475456,0.09218912,0.2883584,0.4325376,3.375429
8x_44m,0.0442488,0.04425456,0.27653808,2.3068672,1.1534336,3.011712
8x_0.1b,0.09832384,0.09833344,0.61449664,9.2274688,4.6137344,2.728182
8x_15m,0.01475168,0.01475456,0.09218912,2.3068672,0.2883584,3.249407
